                                                                                                                                                        |
 2497991305         | AUSTINLOVESBEER | where is my fav sweatshot? I won't go out naked. Hm.. Or will…                                                                                                           | United States | English        | 4/3/2015 13:18   | 4/3/2015 13:18   |             48 |             42 |     301 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 583981800864612354 | http://twitter.com/AustinLovesBeer/statuses/583981800864612354 |                                                                                                                                                                                                                     |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | Our vision is more obstructed by what we think we know than by our lack of knowledge.                                                                                    | United States | English        | 4/3/2015 13:23   | 4/3/2015 13:24   |             48 |             42 |     303 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 583983252735533056 | http://twitter.com/AustinLovesBeer/statuses/583983252735533056 |                                                                                                                                                                                                                     |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | MT @irisflower33: #WakeUpAmerica - #MemorialDay We are #HonoringOurFallen. https://t.co/NQkWbAYypx #InHonorOf #PJNET                                                     | United States | English        | 5/30/2016 21:41  | 5/30/2016 21:42  |             41 |             33 |     382 | RETWEET     | Right        |          1 | RightTroll       |             0 | 2497991305      | 737398594400059392 | http://twitter.com/AustinLovesBeer/statuses/737398594400059392 | https://twitter.com/irisflower33/status/601889666778963968/photo/1                                                                                                                                                  |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | MT @TAPS4America: Our flag, our love, our memories. What remains of our fallen heroes. https://t.co/HrelgQ01kA #InHonorOf #PJNET                                         | United States | English        | 5/30/2016 21:42  | 5/30/2016 21:42  |             41 |             33 |     388 | RETWEET     | Right        |          1 | RightTroll       |             0 | 2497991305      | 737398776399319040 | http://twitter.com/AustinLovesBeer/statuses/737398776399319040 | https://twitter.com/TAPS4America/status/599307643686154240/photo/1                                                                                                                                                  |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | Silent, but never forgotten—the memory of our American heroes marches ahead—a solemn reminder. �� #InHonorOf #PJNET https://t.co/GvH6AiD1dw                              | United States | English        | 5/30/2016 21:42  | 5/30/2016 21:42  |             41 |             33 |     387 | RETWEET     | Right        |          1 | RightTroll       |             0 | 2497991305      | 737398737237082112 | http://twitter.com/AustinLovesBeer/statuses/737398737237082112 | https://twitter.com/fredbookmann/status/737360434542448640/photo/1                                                                                                                                                  |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | MT @Through_Ranks: #MemorialDay - We remember and honor those who made the ultimate sacrifce. https://t.co/YFKmLCewsD #InHonorOf #PJNET                                  | United States | English        | 5/30/2016 21:42  | 5/30/2016 21:42  |             41 |             33 |     386 | RETWEET     | Right        |          1 | RightTroll       |             0 | 2497991305      | 737398710762622976 | http://twitter.com/AustinLovesBeer/statuses/737398710762622976 | https://twitter.com/Through_Ranks/status/602731239448023040/photo/1                                                                                                                                                 |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | Reignite the PROMISE OF AMERICA with #TedCruz!   #WakeUpAmerica #CruzCrew #PJNET #TCOT #TedCruz2016   https://t.co/fq4XUWnXGo                                            | United States | English        | 5/31/2016 8:09   | 5/31/2016 8:09   |             41 |             34 |     391 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 737556534045986816 | http://twitter.com/AustinLovesBeer/statuses/737556534045986816 | https://twitter.com/jstines3/status/645375603017916416/photo/1                                                                                                                                                      |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | '- Earth Wind And Fire - Would You Mind https://t.co/hFICIuveRf #WakeUpAmerica #teaparty #tcot'                                                                          | United States | English        | 5/31/2016 8:32   | 5/31/2016 8:32   |             41 |             34 |     392 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 737562341974249472 | http://twitter.com/AustinLovesBeer/statuses/737562341974249472 | http://rdo.to/WAARADIO                                                                                                                                                                                              |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | Cruz fights DC Cartel EVERY DAY, not just during Campaigns!  #WakeUpAmerica #CruzCrew #TrusTed #TCOT #PJNET  https://t.co/HVTVostuiJ                                     | United States | English        | 5/31/2016 8:48   | 5/31/2016 8:48   |             41 |             34 |     394 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 737566303783788544 | http://twitter.com/AustinLovesBeer/statuses/737566303783788544 | https://twitter.com/jstines3/status/671128893986836480/photo/1                                                                                                                                                      |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | '@LNever_mindL Then he was cheating us for years, it's a crime!'                                                                                                         | United States | English        | 6/14/2015 16:49  | 6/14/2015 16:49  |             48 |             41 |     325 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 610126985206079488 | http://twitter.com/AustinLovesBeer/statuses/610126985206079488 |                                                                                                                                                                                                                     |                                                                                                                                                                |
